"","species","run","run.env","time","pop","thinned"
"5925","15",198,-0.236704595946974,0,0,0
"5926","1",198,-0.236704595946974,1,105,0
"5927","2",198,-0.236704595946974,1,0,0
"5928","3",198,-0.236704595946974,1,4,0
"5929","4",198,-0.236704595946974,1,44,0
"5930","5",198,-0.236704595946974,1,0,0
"5931","6",198,-0.236704595946974,1,0,0
"5932","7",198,-0.236704595946974,1,10,0
"5933","8",198,-0.236704595946974,1,89,0
"5934","9",198,-0.236704595946974,1,0,0
"5935","10",198,-0.236704595946974,1,17,0
"5936","11",198,-0.236704595946974,1,0,0
"5937","12",198,-0.236704595946974,1,0,0
"5938","13",198,-0.236704595946974,1,0,0
"5939","14",198,-0.236704595946974,1,57,0
"5940","15",198,-0.236704595946974,1,0,0
"5941","1",199,0.608347297458189,0,0,0
"5942","2",199,0.608347297458189,0,0,0
"5943","3",199,0.608347297458189,0,7,0
"5944","4",199,0.608347297458189,0,180,0
"5945","5",199,0.608347297458189,0,0,0
"5946","6",199,0.608347297458189,0,0,0
"5947","7",199,0.608347297458189,0,16,0
"5948","8",199,0.608347297458189,0,90,0
"5949","9",199,0.608347297458189,0,0,0
"5950","10",199,0.608347297458189,0,13,0
"5951","11",199,0.608347297458189,0,0,0
"5952","12",199,0.608347297458189,0,17,0
"5953","13",199,0.608347297458189,0,0,0
"5954","14",199,0.608347297458189,0,44,0
"5955","15",199,0.608347297458189,0,0,0
"5956","1",199,0.608347297458189,1,0,0
"5957","2",199,0.608347297458189,1,0,0
"5958","3",199,0.608347297458189,1,7,0
"5959","4",199,0.608347297458189,1,119,0
"5960","5",199,0.608347297458189,1,0,0
"5961","6",199,0.608347297458189,1,0,0
"5962","7",199,0.608347297458189,1,21,0
"5963","8",199,0.608347297458189,1,90,0
"5964","9",199,0.608347297458189,1,0,0
"5965","10",199,0.608347297458189,1,15,0
"5966","11",199,0.608347297458189,1,0,0
"5967","12",199,0.608347297458189,1,14,0
"5968","13",199,0.608347297458189,1,0,0
"5969","14",199,0.608347297458189,1,53,0
"5970","15",199,0.608347297458189,1,0,0
"5971","1",200,1.92778016736278,0,76,0
"5972","2",200,1.92778016736278,0,0,0
"5973","3",200,1.92778016736278,0,15,0
"5974","4",200,1.92778016736278,0,0,0
"5975","5",200,1.92778016736278,0,0,0
"5976","6",200,1.92778016736278,0,0,0
"5977","7",200,1.92778016736278,0,13,0
"5978","8",200,1.92778016736278,0,0,0
"5979","9",200,1.92778016736278,0,0,0
"5980","10",200,1.92778016736278,0,56,0
"5981","11",200,1.92778016736278,0,6,0
"5982","12",200,1.92778016736278,0,9,0
"5983","13",200,1.92778016736278,0,0,0
"5984","14",200,1.92778016736278,0,248,0
"5985","15",200,1.92778016736278,0,0,0
"5986","1",200,1.92778016736278,1,77,0
"5987","2",200,1.92778016736278,1,0,0
"5988","3",200,1.92778016736278,1,14,0
"5989","4",200,1.92778016736278,1,0,0
"5990","5",200,1.92778016736278,1,0,0
"5991","6",200,1.92778016736278,1,0,0
"5992","7",200,1.92778016736278,1,13,0
"5993","8",200,1.92778016736278,1,0,0
"5994","9",200,1.92778016736278,1,0,0
"5995","10",200,1.92778016736278,1,55,0
"5996","11",200,1.92778016736278,1,6,0
"5997","12",200,1.92778016736278,1,7,0
"5998","13",200,1.92778016736278,1,0,0
"5999","14",200,1.92778016736278,1,134,0
"6000","15",200,1.92778016736278,1,0,0
"6001","1",201,-0.546363377486791,0,27,0
"6002","2",201,-0.546363377486791,0,29,0
"6003","3",201,-0.546363377486791,0,38,0
